/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
20966902	Croteau-Chonka	20966902	GRASP1.0		48		"Body mass index (BMI), height, weight, waist circumference"	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index;Gender;Female	10/21/10	y	Obesity (Silver Spring)	Genome-wide association study of anthropometric traits and evidence of interactions with age and study year in Filipino women.		y	y	1792 Filipino women	NR	Affymetrix [2073674] (imputed)	Filipino	1792	1792											1792																								
20971583	Ojwang	20971583	GRASP1.0		14		Dupuytren's disease	Skin-related	10/22/10	y	J Hand Surg Am	Genome-wide association scan of Dupuytren's disease.		n	n	"37 EA cases, 34 EA controls"	NR	Illumina [251837]	European	71	71	71																																		
20972438	Rothman	20972438	GRASP1.0		42		Bladder cancer	Cancer;Bladder cancer	10/24/10	y	Nat Genet	A multi-stage genome-wide association study of bladder cancer identifies multiple susceptibility loci.		n	n	"3532 EA cases, 5120 EA controls"	"8382 mostly EA cases, 48275 controls"	Illumina [591637]	European	65309	8652	8652												56657	56657																					
20972440	Houlston	20972440	GRASP1.0		7		Colorectal cancer	Cancer;Colorectal cancer	10/24/10	y	Nat Genet	"Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33."		n	n	"3334 EA cases, 4628 EA controls"	"14851 EA cases, 15569 EA controls"	Illumina [up to ~550000] (imputed)	European	38382	7962	7962												30420	30420																					
20975947	Stark	20975947	GRASP1.0		31		Dilated cardiomyopathy	Cardiovascular disease (CVD);Heart;Cardiomyopathy	10/21/10	n	PLoS Genet	Genetic association study identifies HSPB7 as a risk gene for idiopathic dilated 		n	n	664 EA cases and 1874 controls	1246 EA cases and 1756 controls	Illumina [30920]	European	5540	2538	2538												3002	3002																					
20978177	Penney	20978177	GRASP1.0		278		Prostate cancer mortality	Cancer;Prostate cancer;Gender;Male;Reproductive	10/26/10	y	Cancer Epidemiol Biomarkers Prev	Genome-wide association study of prostate cancer mortality.		y	y	"222 EA lethal cases, 415 EA long-term survivors"	"500 EA lethal cases, 155 EA long-term survivors"	Affymetrix [419613]	European	1292	637	637												655	655																					
20978265	Wassel	20978265	GRASP1.0		35		Fibrinogen levels	Quantitative trait(s);Blood-related	10/26/10	n	Blood	Association of genomic loci from a cardiovascular gene SNP array with fibrinogen 		n	n	"23634 EA samples, 6657 AA samples"	Cross-sample validation	Illumina [47539]	Mixed	30291	30291	23634	6657																																	
20981236	Lin	20981236	GRASP1.0		32		"Lactate dehydrogenase, in serum"	Quantitative trait(s);Blood-related;Diet-related;Serum	9/1/10	n	Hum Genomics Proteomics	Genome-wide linkage and association scans for quantitative trait Loci of serum		n	n	1343 EA samples	NR	Affymetrix [70591]	European	1343	1343	1343																																		
21037115	Wan	21037115	GRASP1.0		57		Cachexia	Drug response;Cancer;Quantitative trait(s);Weight	10/29/10	y	Am J Respir Cell Mol Biol	Genome-Wide Association Analysis of Body Mass in Chronic Obstructive Pulmonary Disease.		n	n	"2272 EA individuals, 933 Norwegian individuals"	502 EA samples	Illumina [~550000]	European	3707	3205	3205												502	502																					
21037568	Enciso-Mora	21037568	GRASP1.0		181		Lymphoma (Hodgkin's lymphoma)	Cancer;Blood-related;Blood cancer;Leukemia;Lymphoma	10/31/10	y	Nat Genet	"A genome-wide association study of Hodgkin's lymphoma identifies new susceptibility loci at 2p16.1 (REL), 8q24.21 and 10p14 (GATA3)."		n	n	"589 EA cases, 5199 EA controls"	"2057 EA cases, 3416 EA controls"	Illumina [504374]	European	11261	5788	5788												5473	5473																					
21041247	Perlis	21041247	GRASP1.0		5927		Suicide attempts in bipolar disorder patients	Drug response;Neuro;Behavioral;Bipolar disorder	11/1/10	n	Am J Psychiatry	Genome-wide association study of suicide attempts in mood disorder patients.		n	n	"1295 EA cases + 1822 controls, 176 EA cases + 1097 controls"	"1201 EA cases + 1497 controls, 133 EA cases + 1516 controls"	Affymetrix [1922309] (imputed)	European	8737	4390	4390												4347	4347																					
21041692	Denny	21041692	GRASP1.0		18		"ECG (Electrocardiogram measurements), PR interval"	Quantitative trait(s);Heart	11/16/10	y	Circulation	Identification of genomic predictors of atrioventricular conduction: using electronic medical records as a tool for genome science.		n	n	2334 European American individuals	NR	Illumina [514999]	European	2334	2334	2334																																		
21042317	Wray	21042317	GRASP1.0		1652		Major depression	Neuro;Depression	11/2/10	y	Mol Psychiatry	"Genome-wide association study of major depressive disorder: new results, meta-analysis, and lessons learned."		n	n	"2431 EA cases, 3673 EA controls"	"3332 EA cases, 3228 controls"	Affymetrix & Illumina [1251157] (imputed)	European	12664	6104	6104												6560	6560																					
21044948	UK Parkinson's disease consortium	21044948	GRASP1.0		60		Parkinson's disease	Neuro;Parkinson's disease	11/2/10	y	Hum Mol Genet	Dissection of the genetics of Parkinson's disease identifies an additional association 5' of SNCA and multiple associated haplotypes at 17q21.		n	n	"1705 UK cases, 5175 UK controls"	"1039 French cases, 1984 French controls"	Illumina [532616]	European	9903	6880	6880												3023	3023																					
21044949	Yang	21044949	GRASP1.0		5		Systemic lupus erythematosus	Inflammation;Systemic lupus erythematosus (SLE)	11/29/10	y	Hum Mol Genet	ELF1 is associated with systemic lupus erythematosus in Asian populations.		n	n	"612 Chinese cases, 1160 Chinese controls"	"2090 Chinese cases, 462 Thai cases, 4482 Asian controls"	Illumina [513108]	Asian	8806	1772			1772										7034			7034																			
21048783	Kamada	21048783	GRASP1.0		70		Moyamoya disease	Neuro;Blood-related	11/4/10	y	J Hum Genet	A genome-wide association study identifies RNF213 as the first Moyamoya disease gene.		n	n	"72 Japanese cases, 45 Japanese controls"	"63 Japanese cases, 45 Japanese controls"	Illumina [785720]	Asian	225	117			117										108			108																			
21051598	International HIV Controllers Study	21051598	GRASP1.0		328		HIV-1 control and progression	Infection;HIV/AIDS;Drug response;Blood-related	11/4/10	y	Science	The major genetic determinants of HIV-1 control affect HLA class I peptide presentation.		n	n	"516 European cases, 1196 European controls, 341 African American cases, 892 African American controls, 117 Hispanic controls, 560 Hispanic controls"	NR	Illumina [1384048] (imputed)	Mixed	3622	3622	1712	1233			677																														
21051773	Scerri	21051773	GRASP1.0		132		Handedness	Anthropometric;Behavioral;Neuro	11/4/10	y	Hum Mol Genet	PCSK6 is associated with handedness in individuals with dyslexia.		n	n	192 EA individuals	573 EA individuals	Illumina [~2 million] (imputed)	European	765	192	192												573	573																					
21057379	Curtis	21057379	GRASP1.0		17		Bipolar disorder and schizophrenia	Neuro;Behavioral;Schizophrenia;Bipolar disorder	2/1/11	y	Psychiatr Genet	Case-case genome-wide association analysis shows markers differentially associated with schizophrenia and bipolar disorder and implicates calcium channel genes.		n	n	"506 European bipolar 1 disorder cases, 523 European schizophrenia cases, 505 European controls"	NR	Affymetrix [302482]	European	1534	1534	1534																																		
21059979	Shen	21059979	GRASP1.0		3		"LDL cholesterol, coronary artery calcification"	CVD risk factor (CVD RF);Lipids;Cardiovascular disease (CVD);Arterial;Calcium	11/8/10	y	Arch Intern Med	Familial defective apolipoprotein B-100 and increased low-density lipoprotein cholesterol and coronary artery calcification in the old order amish.		n	n	841 Old Order Amish individuals	663 Old Order Amish individuals	Affymetrix [369241]	European	1504	841	841												663	663																					
21059989	Lee	21059989	GRASP1.0		69		Alzheimer's disease	Neuro;Alzheimer's disease	11/8/10	y	Arch Neurol	"Identification of novel loci for Alzheimer disease and replication of CLU, PICALM, and BIN1 in Caribbean Hispanic individuals."		n	n	"549 Caribbean Hispanic cases, 544 Caribbean Hispanic controls"	"3839 European American individuals, 116 Caribbean Hispanic cases, 70 Caribbean Hispanic controls"	Illumina [627380]	Mixed	5118	1093					1093								4025	3839				186																	
21060006	Tomaszewski	21060006	GRASP1.0		131		Blood pressure	Quantitative trait(s);Blood pressure;CVD risk factor (CVD RF)	11/8/10	n	Hypertension	Genetic architecture of ambulatory blood pressure in the general population:		n	n	2020 EA individuals	8129 European ancestry	Illumina [33577]	European	10149	2020	2020												8129	8129																					
21060860	Gaudet	21060860	GRASP1.0		92		"Breast cancer, BRCA2-positive "	Cancer;Breast cancer;Gender;Female	10/28/10	y	PLoS Genet	Common genetic variants and modification of penetrance of BRCA2-associated breast cancer.		y	y	"899 EA affected BRCA2 carriers, 804 EA unaffected BRCA2 carriers"	"1264 EA cases, 1222 controls"	Affymetrix [592163]	European	4189	1703	1703												2486	2486																					
21060863	Ikram	21060863	GRASP1.0		15		Retinal vascular caliber	Eye-related;Blood-related;CVD risk factor (CVD RF);Quantitative trait(s);Arterial;Venous	10/28/10	y	PLoS Genet	"Four novel Loci (19q13, 6q24, 12q24, and 5q14) influence the microcirculation in vivo."		n	n	15358 EA individuals	6673 EA individuals	Affymetrix & Illumina [2.2 million] (imputed)	European	22031	15358	15358												6673	6673																					
21061259	Plant	21061259	GRASP1.0		244		"Rheumatoid arthritis, anti-TNF response in "	Drug response;Inflammation;Rheumatoid arthritis;Arthritis	11/8/10	y	Arthritis Rheum	Genome-wide association study of genetic predictors of anti-tumor necrosis factor treatment efficacy in rheumatoid arthritis identifies associations with polymorphisms at seven loci.		n	n	566 EA individuals	720 EA individuals	Affymetrix [459446]	European	1286	566	566												720	720																					
21062454	Li	21062454	GRASP1.0		8		"Breast cancer, ER negative"	Cancer;Breast cancer;Gender;Female	11/9/10	y	Breast Cancer Res	A genome-wide association scan on estrogen receptor-negative breast cancer.		y	y	"617 Swedish and Finnish ER-negative cases, 4583 Swedish and Finnish controls"	"1001 European ER-negative cases, 7604 European controls"	Illumina [285984]	European	13805	5200	5200												8605	8605																					
21062987	Van Bergen	21062987	GRASP1.0		20		"Leukemia, T-cell recognition in patients"	Cancer-related;Blood-related;Immune-related;Blood cancer;Leukemia;Cell line	11/9/10	n	Cancer Res	High-throughput characterization of 10 new minor histocompatibility antigens by		n	n	80 (unspecified) B-lymphoblastoid cell lines	NR	Illumina[1100000]	Unspecified	80	80										80																									
21063236	Teichert M	21063236	GRASP1.0		36		Warfarin responsiveness (phenprocoumon)	Drug response;Blood-related	11/6/10	n	Pharmacogenet Genomics	"Dependency of phenprocoumon dosage on polymorphisms in the VKORC1, CYP2C9, and"		n	n	202 mostly EA participants	42 mostly EA participants	Illumina [512349]	European	244	202	202												42	42																					
21068099	Evangelou	21068099	GRASP1.0		18		Osteoarthritis (knee)	Bone-related;Arthritis	11/10/10	y	Ann Rheum Dis	Meta-analysis of genome-wide association studies confirms a susceptibility locus for knee osteoarthritis on chromosome 7q22.		n	n	"2371 EA cases, 35909 EA controls"	"4338 EA cases, 8530 EA controls, 1183 East Asian ancestry cases, 1245 East Asian ancestry controls"	Affymetrix & Illumina [2335627] (imputed)	Mixed	53576	38280	38280												15296	12868		2428																			
21072045	Chen	21072045	GRASP1.0		87		Asparaginase sensitivity in blood cell lines	Drug response;Cancer-related;Cell line	11/12/10	n	Leukemia	A genome-wide approach identifies that the aspartate metabolism pathway		n	n	83 European LCL cell lines (HapMap)	58 (unspecified ancestry) leukemia samples	[HapMap] 2390203	European/Unspecified	141	83	83												58										58												
21072201	Kim	21072201	GRASP1.0		41		"Asthma, aspirin-intolerant"	Drug response;Asthma;Pulmonary;Chronic lung disease;Inflammation;Platelet	11/3/10	y	PLoS One	Genome-wide and follow-up studies identify CEP68 gene variants associated with risk of aspirin-intolerant asthma.		n	n	"80 Korean cases, 100 Korean controls"	"163 Korean cases, 429 Korean controls"	Illumina [96984]	Asian	772	180			180										592			592																			
21076409	Sotoodehnia	21076409	GRASP1.0		64		"ECG (Electrocardiogram measurements), QRS interval"	Quantitative trait(s);Heart	11/14/10	y	Nat Genet	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.		n	n	40407 EA individuals	7170 EA individuals	Affymetrix & Illumina [~2.5 million] (imputed)	European	47577	40407	40407												7170	7170																					
21079520	Sato	21079520	GRASP1.0		16		"Lung cancer, survival in advanced non-small cell lung cancer with carboplatin and paclitaxel treatment"	Cancer;Lung cancer;Pulmonary;Mortality;Drug response	11/12/10	y	J Thorac Oncol	Genome-wide association study on overall survival of advanced non-small cell lung cancer patients treated with carboplatin and paclitaxel.		n	n	105 (presumed) Japanese individuals with non-small cell lung cancer	NR	Illumina [~109365]	Asian	105	105			105																																
21079607	Wang	21079607	GRASP1.0		67		Anorexia nervosa	Neuro;Behavioral;Gender;Female;Diet-related	11/16/10	y	Mol Psychiatry	A genome-wide association study on common SNPs and rare CNVs in anorexia nervosa.		n	n	"1033 EA cases (mostly women), 3773 EA pediatric controls"	NR	Illumina [~598000]	European	4806	4806	4806																																		
21082022	Padmanabhan	21082022	GRASP1.0		103		Blood pressure and/or hypertension	Quantitative trait(s);Blood pressure;CVD risk factor (CVD RF)	10/28/10	y	PLoS Genet	Genome-wide association study of blood pressure extremes identifies variant near UMOD associated with hypertension.		n	n	"1621 Swedish cases, 1699 Swedish controls"	"19845 EA cases, 16541 EA controls"	Illumina [521220]	European	39706	3320	3320												36386	36386																					
21084426	Saad	21084426	GRASP1.0		58		Parkinson's disease	Neuro;Parkinson's disease	11/17/10	y	Hum Mol Genet	Genome-wide association study confirms BST1 and suggests a locus on 12q24 as the risk loci for Parkinson's disease in the European population.		n	n	"1039 French cases, 1984 French controls"	"3232 EA cases, 7064 EA controls"	Illumina [492929]	European	13319	3023	3023												10296	10296																					
21087763	Carrasquillo MM	21087763	GRASP1.0		38		"Progranulin levels, in plasma"	Quantitative trait(s);Blood-related;Plasma	11/17/10	y	Am J Hum Genet	Genome-wide screen identifies rs646776 near sortilin as a regulator of progranulin levels in human plasma.		n	n	533 EA controls	508 EA controls	Illumina [313504]	European	1041	533	533												508	508																					
21088011	Erdmann	21088011	GRASP1.0		8		Coronary artery disease	Cardiovascular disease (CVD);Myocardial infarction (MI)	11/18/10	y	Eur Heart J	Genome-wide association study identifies a new locus for coronary artery disease on chromosome 10p11.23.		n	n	"1157 European cases, 1748 European controls"	"7887 European cases, 8244 European controls"	Affymetrix [254558]	European	19036	2905	2905												16131	16131																					
